run_label,fs_tau,score_algo,diversity,fs_score,fs_n_lags,fs_n_extra,val_r2,val_spectral,val_combined,test_r2,test_spectral,test_combined,test_r2_filt,llm_terms,error
tau2_ridge_spread,2,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau3_ridge_spread,3,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau4_ridge_spread,4,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau5_ridge_spread,5,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau6_ridge_spread,6,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau7_ridge_spread,7,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau8_ridge_spread,8,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau9_ridge_spread,9,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau10_ridge_spread,10,ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau2_lasso_spread,2,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4498020516974585,0.9147770861530383,0.6125433137569114,0.4619283997095548,8,
tau3_lasso_spread,3,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4535916383777346,0.8723937318271873,0.6001723710850431,0.4608505918429448,8,
tau4_lasso_spread,4,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.47205022403172087,0.9134211374437251,0.6265300437259224,0.48782930924342227,8,
tau5_lasso_spread,5,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.5057561248540878,0.9102181116531777,0.6473178202337693,0.5167008867630591,7,
tau6_lasso_spread,6,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.466789967247418,0.9061674938298842,0.6205721015512811,0.4778731877987201,8,
tau7_lasso_spread,7,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.47630549541541506,0.9162193271883315,0.6302753365359358,0.48837917813887965,8,
tau8_lasso_spread,8,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4496626045022692,0.9164537212261765,0.6130394953556367,0.46337182705218977,7,
tau9_lasso_spread,9,lasso,spread,-0.0008186399936676025,3,1,0.541748183114188,0.0,0.35213631902422227,0.455657035112381,0.9173148227216644,0.6172372607756302,0.4704574873814216,8,
tau10_lasso_spread,10,lasso,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.3997673158134733,0.911583372457687,0.5789029356389481,0.4169507897817172,7,
tau2_elasticnet_spread,2,elasticnet,spread,0.0041837117501667565,3,8,0.46983563687120167,0.0,0.3053931639662811,0.31784884205886293,0.7851962316034901,0.4814204283994824,0.4341856355850513,8,
tau3_elasticnet_spread,3,elasticnet,spread,0.0029391348361968994,3,1,0.5317045620509556,0.0,0.34560796533312116,0.40488761237689425,0.8388475241457675,0.5567735814959999,0.4610208639731774,7,
tau4_elasticnet_spread,4,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.48784597643784117,0.9140006871169886,0.6370001251755427,0.500176129432825,7,
tau5_elasticnet_spread,5,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.5010682025126049,0.8996544352099757,0.6405733839566846,0.5113940147253183,6,
tau6_elasticnet_spread,6,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4910933013473238,0.9001499111399056,0.6342631147747274,0.5015433614070599,7,
tau7_elasticnet_spread,7,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4551692817892347,0.9115492553430977,0.6149022725330868,0.4655940074187059,8,
tau8_elasticnet_spread,8,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.44407822617462706,0.9157668909213653,0.6091692588359854,0.4593075995261853,7,
tau9_elasticnet_spread,9,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.1561349630355835,0.8263694799098317,0.39071704394157036,0.44087978509756237,7,
tau10_elasticnet_spread,10,elasticnet,spread,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.49307664164475035,0.8986846108106085,0.6350394308528007,0.503358258650853,8,
tau2_bayesian_ridge_spread,2,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau3_bayesian_ridge_spread,3,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau4_bayesian_ridge_spread,4,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau5_bayesian_ridge_spread,5,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau6_bayesian_ridge_spread,6,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau7_bayesian_ridge_spread,7,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau8_bayesian_ridge_spread,8,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau9_bayesian_ridge_spread,9,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau10_bayesian_ridge_spread,10,bayesian_ridge,spread,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau2_ridge_narrow,2,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau3_ridge_narrow,3,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau4_ridge_narrow,4,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau5_ridge_narrow,5,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau6_ridge_narrow,6,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau7_ridge_narrow,7,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau8_ridge_narrow,8,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau9_ridge_narrow,9,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau10_ridge_narrow,10,ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau2_lasso_narrow,2,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4453897944518498,0.9187087320738655,0.6110514226195554,0.4600818111346318,8,
tau3_lasso_narrow,3,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4510341967855181,0.9089152076041486,0.6112925505720388,0.460495637013362,8,
tau4_lasso_narrow,4,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4713403305837086,0.9090049198100114,0.6245229368129146,0.48143547773361206,7,
tau5_lasso_narrow,5,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.43978155723639895,0.9139444836928864,0.6057385814961695,0.4553198287120232,8,
tau6_lasso_narrow,6,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.46984320878982544,0.9040602520368459,0.6218191739262826,0.4853818164421962,8,
tau7_lasso_narrow,7,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.47134003043174744,0.9090051561035929,0.6245228244168933,0.4814352003427652,7,
tau8_lasso_narrow,8,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4191763869353703,0.9081265603281327,0.5903089476228371,0.43190824068509615,7,
tau9_lasso_narrow,9,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.5161003257547107,0.9103187587681195,0.6540767773094037,0.5270032172019665,7,
tau10_lasso_narrow,10,lasso,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4740115318979536,0.9109010787917505,0.6269228733107826,0.4845616496526278,6,
tau2_elasticnet_narrow,2,elasticnet,narrow,-0.0005304408924920219,3,5,0.10875386425427028,0.0,0.07069001176527569,0.3902006575039455,0.8654359993598078,0.5565330271534973,0.41210107390697187,7,
tau3_elasticnet_narrow,3,elasticnet,narrow,0.0030191796166556223,3,8,0.4932181430714471,0.0,0.32059179299644064,0.37931291120392935,0.8432365287152691,0.5416861773328983,0.45440804958343506,7,
tau4_elasticnet_narrow,4,elasticnet,narrow,0.0012708625623158046,3,1,0.5317045620509556,0.0,0.34560796533312116,0.41016352815287455,0.8428829515843212,0.5616153263538809,0.4718978932270637,7,
tau5_elasticnet_narrow,5,elasticnet,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4922879104103361,0.9035739512845098,0.6362380247162969,0.5040391339705541,8,
tau6_elasticnet_narrow,6,elasticnet,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4258786418608257,0.8987701055636421,0.5913906541568115,0.44367266159791213,7,
tau7_elasticnet_narrow,7,elasticnet,narrow,-0.0008186399936676025,3,1,0.5294492691755295,0.0,0.3441420249640942,0.4536244443484715,0.8840033736484258,0.6042570696034555,0.4632171873862927,7,
tau8_elasticnet_narrow,8,elasticnet,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4575842469930649,0.9059934965196096,0.6145274843273556,0.4666563937297234,7,
tau9_elasticnet_narrow,9,elasticnet,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.4549473949841091,0.9104710484891199,0.6143806737108628,0.46250770871455854,7,
tau10_elasticnet_narrow,10,elasticnet,narrow,-0.0008186399936676025,3,0,0.5393076624189105,0.0,0.3505499805722918,0.43381791029657635,0.9185522378966271,0.603474924956594,0.44767787364813,8,
tau2_bayesian_ridge_narrow,2,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau3_bayesian_ridge_narrow,3,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau4_bayesian_ridge_narrow,4,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau5_bayesian_ridge_narrow,5,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau6_bayesian_ridge_narrow,6,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau7_bayesian_ridge_narrow,7,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau8_bayesian_ridge_narrow,8,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau9_bayesian_ridge_narrow,9,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
tau10_bayesian_ridge_narrow,10,bayesian_ridge,narrow,,-1,-1,,,,,,,,-1,Total of weights must be greater than zero
